seed,p_visible,n0,input_len,pred_len,method,label,loss_type,loss,train_loss,val_loss,mse,train_mse,val_mse,mae,train_mae,val_mae,num_parameters,status,error,raw_T,missing_timestamps,clean_T,train_ratio,val_ratio,test_ratio,train_end,val_end,test_end,train_block_T,val_block_T,test_block_T,adjacent_pairs_total,gap_pairs_total,drop_gap_windows,train_candidate_windows,train_windows,train_dropped_gap_windows,train_gap_pairs_in_block,train_first_window_start,train_last_window_start,val_candidate_windows,val_windows,val_dropped_gap_windows,val_gap_pairs_in_block,val_first_window_start,val_last_window_start,test_candidate_windows,test_windows,test_dropped_gap_windows,test_gap_pairs_in_block,test_first_window_start,test_last_window_start,loss_h1,val_loss_h1,train_loss_h1,loss_h2,val_loss_h2,train_loss_h2,loss_h3,val_loss_h3,train_loss_h3
50,0.4,82,12,3,rg_alg,Random-group algebra,mse,69.15721130371094,58.8530158996582,59.83219528198242,69.15721130371094,58.8530158996582,59.83219528198242,,,,3996,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.32428741455078,38.64949035644531,39.515140533447266,70.64558410644531,61.24833297729492,60.767459869384766,92.50175476074219,79.59876251220703,76.2764663696289
50,0.4,82,12,3,kron_lp,Kron Laplacian polynomial,mse,69.44075012207031,59.11834716796875,60.09608459472656,69.44075012207031,59.11834716796875,60.09608459472656,,,,144,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.42519760131836,38.749202728271484,39.64016342163086,70.94772338867188,61.50668716430664,61.031166076660156,92.94931030273438,80.0323715209961,76.6837158203125
50,0.4,82,12,3,union_lp,Union Laplacian polynomial,mse,69.6598129272461,58.973541259765625,60.04850769042969,69.6598129272461,58.973541259765625,60.04850769042969,,,,144,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.5810661315918,38.79461669921875,39.62916564941406,71.20570373535156,61.50430679321289,60.911075592041016,93.19266510009766,79.84661102294922,76.38040924072266
50,0.4,82,12,3,sffa,"(k,r)-SFFA",mse,69.10674285888672,58.19752502441406,59.40815353393555,69.10674285888672,58.19752502441406,59.40815353393555,,,,3996,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.35421371459961,38.54941177368164,39.298828125,70.65960693359375,60.86705780029297,60.135135650634766,92.306396484375,78.8080062866211,75.15861511230469
50,0.5,103,12,3,ar,Node-wise AR on visible subgraph,mse,69.43960571289062,59.11664581298828,60.50504684448242,69.43960571289062,59.11664581298828,60.50504684448242,,,,3708,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.531280517578125,39.12351989746094,39.56371307373047,70.90821838378906,61.929805755615234,61.0231819152832,92.87930297851562,80.46180725097656,76.76304626464844
50,0.5,103,12,3,sub_lp,Subgraph Laplacian polynomial,mse,68.98475646972656,58.95369338989258,60.02382278442383,68.98475646972656,58.95369338989258,60.02382278442383,,,,144,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.34242248535156,38.94462203979492,39.59821701049805,70.48606872558594,61.47068786621094,60.88972091674805,92.12577056884766,79.65615844726562,76.3731460571289
50,0.5,103,12,3,dk_lp,Distance-k Laplacian polynomial,mse,68.87471771240234,58.479522705078125,59.70149230957031,68.87471771240234,58.479522705078125,59.70149230957031,,,,1080,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.32596206665039,38.8521842956543,39.40971755981445,70.4150390625,61.17920684814453,60.42557907104492,91.88314056396484,79.07308197021484,75.603271484375
50,0.5,103,12,3,rg_lp,Random-group Laplacian polynomial,mse,69.11553955078125,59.07484436035156,60.167274475097656,69.11553955078125,59.07484436035156,60.167274475097656,,,,432,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.39445877075195,38.99106216430664,39.64213943481445,70.61677551269531,61.60823440551758,61.003334045410156,92.33538055419922,79.90251159667969,76.57906341552734
50,0.5,103,12,3,rg_alg,Random-group algebra,mse,68.70634460449219,58.52708435058594,59.624290466308594,68.70634460449219,58.52708435058594,59.624290466308594,,,,3996,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.26091766357422,38.81245803833008,39.41579818725586,70.21284484863281,61.08876419067383,60.474308013916016,91.645263671875,78.97164916992188,75.6911392211914
50,0.5,103,12,3,kron_lp,Kron Laplacian polynomial,mse,69.01729583740234,58.87590408325195,59.99768829345703,69.01729583740234,58.87590408325195,59.99768829345703,,,,144,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.36241149902344,38.94109344482422,39.566837310791016,70.53128814697266,61.4434700012207,60.8096923828125,92.15819549560547,79.60848236083984,76.25119018554688
50,0.5,103,12,3,union_lp,Union Laplacian polynomial,mse,69.25249481201172,58.79219436645508,60.03232192993164,69.25249481201172,58.79219436645508,60.03232192993164,,,,144,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.51707458496094,39.01708221435547,39.57100296020508,70.80030822753906,61.52503967285156,60.74483871459961,92.44009399414062,79.55482482910156,76.06076049804688
