p,p1_hidden_original_ratio,n0_first_run,m0_first_run,runs,seeds,method,label,rmse_mean,rmse_std,mse_mean,train_size,test_size,k,r,rmax,optimizer
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r3,1..13-union Laplacian polynomial LIM (deg≤3),0.12506068030188755,0.007026004728090487,0.015684602025766155,200,200,13,3,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r4,1..13-union Laplacian polynomial LIM (deg≤4),0.12506068656732125,0.007026021776868147,0.01568460380849789,200,200,13,4,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r5,1..13-union Laplacian polynomial LIM (deg≤5),0.12506068664750045,0.007026020431147575,0.015684603811533315,200,200,13,5,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r6,1..13-union Laplacian polynomial LIM (deg≤6),0.1250606864383359,0.0070260226421215485,0.01568460378717862,200,200,13,6,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,subgraph_asymptotic_lmmse,Asymptotic subgraph numerical LMMSE,0.03959957984449164,0.0023229035501405658,0.0015729830166731986,200,200,14,2,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,numerical_lmmse,Subgraph numerical LMMSE,0.13631932301834698,0.01217678384181119,0.018716404486437594,200,200,14,2,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,distance_laplacian_poly,Distance-1..14 Laplacian polynomial (deg≤2),0.09274255449230935,0.008258435455455713,0.008662562994313705,200,200,14,2,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,random_group_algebra,"Random-group algebra (q=14, r=2)",0.07729945531232542,0.015812766579377975,0.0062002450197866975,200,200,14,2,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,pure_sffa,"Pure distance-based SFFA (k=14, r=2)",0.07448826512620779,0.006112224763466377,0.005582125003915439,200,200,14,2,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r2,Induced Laplacian polynomial LIM (deg≤2),0.11812943435683851,0.019636225730556102,0.014301586486313838,200,200,14,2,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r3,Induced Laplacian polynomial LIM (deg≤3),0.11598730270721236,0.018692457177461468,0.013767521549092627,200,200,14,3,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r4,Induced Laplacian polynomial LIM (deg≤4),0.11599677321259243,0.018695193800394947,0.013769810639844499,200,200,14,4,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r5,Induced Laplacian polynomial LIM (deg≤5),0.11599707594132887,0.018695281130525456,0.01376988380983286,200,200,14,5,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r6,Induced Laplacian polynomial LIM (deg≤6),0.1159970677292246,0.01869529635193065,0.013769882416896176,200,200,14,6,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r2,Kron Laplacian polynomial LIM (deg≤2),0.11153673086587575,0.014312475989153006,0.012624804604292873,200,200,14,2,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r3,Kron Laplacian polynomial LIM (deg≤3),0.11032459623131208,0.013870336193151535,0.012344664137101984,200,200,14,3,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r4,Kron Laplacian polynomial LIM (deg≤4),0.11032362770186328,0.013870464769264656,0.012344453642923206,200,200,14,4,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r5,Kron Laplacian polynomial LIM (deg≤5),0.11032359433487948,0.013870469541322466,0.012344446399734133,200,200,14,5,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r6,Kron Laplacian polynomial LIM (deg≤6),0.11032361209035801,0.013870468762358475,0.012344450297982593,200,200,14,6,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r2,1..14-union Laplacian polynomial LIM (deg≤2),0.12465802736451895,0.009034294649941673,0.01561308041825292,200,200,14,2,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r3,1..14-union Laplacian polynomial LIM (deg≤3),0.12465362584091702,0.009035258738975002,0.015611998745719533,200,200,14,3,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r4,1..14-union Laplacian polynomial LIM (deg≤4),0.12465352512522307,0.009035283398781315,0.015611974037631282,200,200,14,4,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r5,1..14-union Laplacian polynomial LIM (deg≤5),0.12465352010798973,0.009035282693848831,0.015611972775334984,200,200,14,5,6,lbfgs
0.7,0.1,223,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r6,1..14-union Laplacian polynomial LIM (deg≤6),0.12465352311710705,0.00903528776082009,0.01561197360793588,200,200,14,6,6,lbfgs
